# n_ref,317
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,2
0.2,0.3,10
0.3,0.4,25
0.4,0.5,22
0.5,0.6,41
0.6,0.7,61
0.7,0.8,59
0.8,0.9,89
0.9,1.0,92
1.0,1.1,118
1.1,1.2,170
1.2,1.3,188
1.3,1.4,212
1.4,1.5,236
1.5,1.6,251
1.6,1.7,299
1.7,1.8,324
1.8,1.9,319
1.9,2.0,333
2.0,2.1,361
2.1,2.2,347
2.2,2.3,386
2.3,2.4,396
2.4,2.5,409
2.5,2.6,477
2.6,2.7,439
2.7,2.8,430
2.8,2.9,457
2.9,3.0,507
3.0,3.1,485
3.1,3.2,509
3.2,3.3,548
3.3,3.4,565
3.4,3.5,520
3.5,3.6,545
3.6,3.7,602
3.7,3.8,626
3.8,3.9,579
3.9,4.0,624
4.0,4.1,670
4.1,4.2,704
4.2,4.3,656
4.3,4.4,682
4.4,4.5,702
4.5,4.6,698
4.6,4.7,739
4.7,4.8,780
4.8,4.9,742
4.9,5.0,774
