# n_ref,327
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,316
0.1,0.2,0
0.2,0.3,4
0.3,0.4,13
0.4,0.5,29
0.5,0.6,16
0.6,0.7,35
0.7,0.8,30
0.8,0.9,56
0.9,1.0,68
1.0,1.1,74
1.1,1.2,84
1.2,1.3,88
1.3,1.4,98
1.4,1.5,102
1.5,1.6,153
1.6,1.7,131
1.7,1.8,121
1.8,1.9,150
1.9,2.0,129
2.0,2.1,136
2.1,2.2,163
2.2,2.3,173
2.3,2.4,182
2.4,2.5,174
2.5,2.6,201
2.6,2.7,198
2.7,2.8,217
2.8,2.9,213
2.9,3.0,236
3.0,3.1,244
3.1,3.2,229
3.2,3.3,264
3.3,3.4,235
3.4,3.5,256
3.5,3.6,246
3.6,3.7,253
3.7,3.8,273
3.8,3.9,277
3.9,4.0,314
4.0,4.1,298
4.1,4.2,327
4.2,4.3,317
4.3,4.4,315
4.4,4.5,342
4.5,4.6,339
4.6,4.7,320
4.7,4.8,361
4.8,4.9,362
4.9,5.0,388
