# n_ref,582
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,23
0.2,0.3,67
0.3,0.4,124
0.4,0.5,123
0.5,0.6,144
0.6,0.7,214
0.7,0.8,252
0.8,0.9,323
0.9,1.0,383
1.0,1.1,440
1.1,1.2,477
1.2,1.3,516
1.3,1.4,574
1.4,1.5,672
1.5,1.6,753
1.6,1.7,779
1.7,1.8,843
1.8,1.9,946
1.9,2.0,998
2.0,2.1,1114
2.1,2.2,1145
2.2,2.3,1162
2.3,2.4,1235
2.4,2.5,1245
2.5,2.6,1396
2.6,2.7,1354
2.7,2.8,1430
2.8,2.9,1406
2.9,3.0,1535
3.0,3.1,1584
3.1,3.2,1608
3.2,3.3,1648
3.3,3.4,1790
3.4,3.5,1767
3.5,3.6,1759
3.6,3.7,1756
3.7,3.8,1898
3.8,3.9,1999
3.9,4.0,2026
4.0,4.1,2066
4.1,4.2,2159
4.2,4.3,2095
4.3,4.4,2117
4.4,4.5,2413
4.5,4.6,2348
4.6,4.7,2402
4.7,4.8,2380
4.8,4.9,2436
4.9,5.0,2552
