# n_ref,312
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,1
0.2,0.3,14
0.3,0.4,60
0.4,0.5,62
0.5,0.6,101
0.6,0.7,105
0.7,0.8,136
0.8,0.9,170
0.9,1.0,185
1.0,1.1,236
1.1,1.2,256
1.2,1.3,298
1.3,1.4,325
1.4,1.5,325
1.5,1.6,378
1.6,1.7,453
1.7,1.8,458
1.8,1.9,509
1.9,2.0,560
2.0,2.1,514
2.1,2.2,519
2.2,2.3,592
2.3,2.4,588
2.4,2.5,601
2.5,2.6,646
2.6,2.7,662
2.7,2.8,719
2.8,2.9,671
2.9,3.0,766
3.0,3.1,739
3.1,3.2,768
3.2,3.3,786
3.3,3.4,833
3.4,3.5,891
3.5,3.6,899
3.6,3.7,900
3.7,3.8,882
3.8,3.9,905
3.9,4.0,1007
4.0,4.1,986
4.1,4.2,1027
4.2,4.3,1039
4.3,4.4,1053
4.4,4.5,1125
4.5,4.6,1099
4.6,4.7,1217
4.7,4.8,1251
4.8,4.9,1169
4.9,5.0,1234
