# n_ref,779
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,19
0.2,0.3,99
0.3,0.4,160
0.4,0.5,198
0.5,0.6,341
0.6,0.7,374
0.7,0.8,394
0.8,0.9,479
0.9,1.0,524
1.0,1.1,608
1.1,1.2,705
1.2,1.3,806
1.3,1.4,837
1.4,1.5,871
1.5,1.6,916
1.6,1.7,907
1.7,1.8,997
1.8,1.9,1027
1.9,2.0,1153
2.0,2.1,1167
2.1,2.2,1214
2.2,2.3,1203
2.3,2.4,1285
2.4,2.5,1359
2.5,2.6,1417
2.6,2.7,1445
2.7,2.8,1583
2.8,2.9,1592
2.9,3.0,1608
3.0,3.1,1627
3.1,3.2,1590
3.2,3.3,1724
3.3,3.4,1774
3.4,3.5,1818
3.5,3.6,1824
3.6,3.7,1891
3.7,3.8,1967
3.8,3.9,2057
3.9,4.0,2024
4.0,4.1,2142
4.1,4.2,2223
4.2,4.3,2169
4.3,4.4,2353
4.4,4.5,2209
4.5,4.6,2298
4.6,4.7,2279
4.7,4.8,2439
4.8,4.9,2490
4.9,5.0,2556
