seq,id,ra,dec,mag,tile,euclid_vis_png,euclid_nisp_png
51,318,149.607177,2.468307,21.02,101545695,sn_acs_only_0051_euclid_vis.png,sn_acs_only_0051_euclid_nisp.png
52,323,149.608739,2.480152,21.11,101545695,sn_acs_only_0052_euclid_vis.png,sn_acs_only_0052_euclid_nisp.png
53,186,149.635288,2.521366,20.93,101545695,sn_acs_only_0053_euclid_vis.png,sn_acs_only_0053_euclid_nisp.png
54,283,149.611931,2.484856,21.92,101545695,sn_acs_only_0054_euclid_vis.png,sn_acs_only_0054_euclid_nisp.png
55,299,149.626749,1.930672,24.24,101542815,sn_acs_only_0055_euclid_vis.png,sn_acs_only_0055_euclid_nisp.png
56,301,149.620655,1.896760,21.31,101542815,sn_acs_only_0056_euclid_vis.png,sn_acs_only_0056_euclid_nisp.png
57,277,149.624189,1.671270,19.15,101541375,sn_acs_only_0057_euclid_vis.png,sn_acs_only_0057_euclid_nisp.png
58,385,149.620933,2.226640,21.40,101544255,sn_acs_only_0058_euclid_vis.png,sn_acs_only_0058_euclid_nisp.png
59,305,149.610151,2.538880,22.80,101545695,sn_acs_only_0059_euclid_vis.png,sn_acs_only_0059_euclid_nisp.png
60,151,149.654714,2.297011,22.43,101544255,sn_acs_only_0060_euclid_vis.png,sn_acs_only_0060_euclid_nisp.png
61,156,149.656910,2.311620,20.99,101544255,sn_acs_only_0061_euclid_vis.png,sn_acs_only_0061_euclid_nisp.png
62,80,149.637518,1.721075,19.65,101541375,sn_acs_only_0062_euclid_vis.png,sn_acs_only_0062_euclid_nisp.png
63,314,149.643340,2.348571,22.93,101544255,sn_acs_only_0063_euclid_vis.png,sn_acs_only_0063_euclid_nisp.png
64,167,149.663806,2.058648,22.04,101542815,sn_acs_only_0064_euclid_vis.png,sn_acs_only_0064_euclid_nisp.png
65,355,149.650635,2.379375,23.48,101544255,sn_acs_only_0065_euclid_vis.png,sn_acs_only_0065_euclid_nisp.png
66,314,149.637532,1.778605,21.71,101541375,sn_acs_only_0066_euclid_vis.png,sn_acs_only_0066_euclid_nisp.png
67,127,149.674731,2.144070,18.28,101544255,sn_acs_only_0067_euclid_vis.png,sn_acs_only_0067_euclid_nisp.png
68,160,149.675249,2.423879,19.98,101545695,sn_acs_only_0068_euclid_vis.png,sn_acs_only_0068_euclid_nisp.png
69,361,149.654429,2.457840,23.40,101545695,sn_acs_only_0069_euclid_vis.png,sn_acs_only_0069_euclid_nisp.png
70,378,149.653551,2.460404,20.13,101545695,sn_acs_only_0070_euclid_vis.png,sn_acs_only_0070_euclid_nisp.png
71,385,149.671221,1.910474,23.90,101542815,sn_acs_only_0071_euclid_vis.png,sn_acs_only_0071_euclid_nisp.png
72,350,149.665452,2.488684,20.49,101545695,sn_acs_only_0072_euclid_vis.png,sn_acs_only_0072_euclid_nisp.png
73,154,149.698113,2.209170,23.47,101544255,sn_acs_only_0073_euclid_vis.png,sn_acs_only_0073_euclid_nisp.png
74,185,149.693612,1.673795,23.96,101541376,sn_acs_only_0074_euclid_vis.png,sn_acs_only_0074_euclid_nisp.png
75,194,149.692415,1.672475,23.57,101541375,sn_acs_only_0075_euclid_vis.png,sn_acs_only_0075_euclid_nisp.png
76,548,149.724604,2.256133,23.33,101544255,sn_acs_only_0076_euclid_vis.png,sn_acs_only_0076_euclid_nisp.png
77,171,149.724562,2.622921,22.77,101545695,sn_acs_only_0077_euclid_vis.png,sn_acs_only_0077_euclid_nisp.png
78,201,149.717824,2.321182,19.54,101544255,sn_acs_only_0078_euclid_vis.png,sn_acs_only_0078_euclid_nisp.png
79,36,149.744500,2.385351,20.09,101544256,sn_acs_only_0079_euclid_vis.png,sn_acs_only_0079_euclid_nisp.png
80,163,149.732779,2.402211,21.17,101545695,sn_acs_only_0080_euclid_vis.png,sn_acs_only_0080_euclid_nisp.png
81,80,149.707893,2.096226,20.04,101542815,sn_acs_only_0081_euclid_vis.png,sn_acs_only_0081_euclid_nisp.png
82,334,149.701054,2.435527,23.65,101545695,sn_acs_only_0082_euclid_vis.png,sn_acs_only_0082_euclid_nisp.png
83,283,149.710021,2.771000,23.86,101547134,sn_acs_only_0083_euclid_vis.png,sn_acs_only_0083_euclid_nisp.png
84,258,149.733893,1.883631,23.99,101541376,sn_acs_only_0084_euclid_vis.png,sn_acs_only_0084_euclid_nisp.png
85,251,149.726364,2.802693,18.77,101547134,sn_acs_only_0085_euclid_vis.png,sn_acs_only_0085_euclid_nisp.png
86,315,149.716876,2.806753,23.05,101547134,sn_acs_only_0086_euclid_vis.png,sn_acs_only_0086_euclid_nisp.png
87,105,149.761535,1.637210,19.63,101539936,sn_acs_only_0087_euclid_vis.png,sn_acs_only_0087_euclid_nisp.png
88,114,149.761558,1.646621,18.59,101541376,sn_acs_only_0088_euclid_vis.png,sn_acs_only_0088_euclid_nisp.png
