seq,id,ra,dec,mag,tile,hstpng
74,1502057065024268734,150.205707,2.426873,24.00,077,sn_euclid_only_0074_hst.png
75,1499938985024629195,149.993899,2.462920,17.86,090,sn_euclid_only_0075_hst.png
76,1501106540024606215,150.110654,2.460622,22.52,077,sn_euclid_only_0076_hst.png
77,1502028345024667190,150.202835,2.466719,18.77,089,sn_euclid_only_0077_hst.png
78,1502236374024806617,150.223637,2.480662,19.05,089,sn_euclid_only_0078_hst.png
79,1500168419024906510,150.016842,2.490651,19.35,090,sn_euclid_only_0079_hst.png
80,1500292793025843279,150.029279,2.584328,15.78,090,sn_euclid_only_0080_hst.png
81,1500009121025585082,150.000912,2.558508,18.61,090,sn_euclid_only_0081_hst.png
82,1504842301024338652,150.484230,2.433865,16.66,075,sn_euclid_only_0082_hst.png
83,1503142009024225022,150.314201,2.422502,15.78,076,sn_euclid_only_0083_hst.png
84,1502906256024646736,150.290626,2.464674,19.42,088,sn_euclid_only_0084_hst.png
85,1503583934024389474,150.358393,2.438947,16.10,076,sn_euclid_only_0085_hst.png
86,1504886472023932961,150.488647,2.393296,18.32,075,sn_euclid_only_0086_hst.png
87,1503151989024410964,150.315199,2.441096,18.09,076,sn_euclid_only_0087_hst.png
88,1503509214024719041,150.350921,2.471904,18.67,088,sn_euclid_only_0088_hst.png
89,1502693375024601360,150.269338,2.460136,17.67,076,sn_euclid_only_0089_hst.png
90,1500890862019847143,150.089086,1.984714,18.94,053,sn_euclid_only_0090_hst.png
91,1500927237018816302,150.092724,1.881630,17.44,041,sn_euclid_only_0091_hst.png
92,1501530536019940753,150.153054,1.994075,17.17,053,sn_euclid_only_0092_hst.png
93,1500117349018985582,150.011735,1.898558,19.15,042,sn_euclid_only_0093_hst.png
94,1499578954020523934,149.957895,2.052393,17.07,054,sn_euclid_only_0094_hst.png
95,1499665329019509054,149.966533,1.950905,17.58,042,sn_euclid_only_0095_hst.png
96,1500866781019227741,150.086678,1.922774,17.22,041,sn_euclid_only_0096_hst.png
97,1501256296019649904,150.125630,1.964990,16.21,053,sn_euclid_only_0097_hst.png
98,1501108047020340636,150.110805,2.034064,17.61,053,sn_euclid_only_0098_hst.png
99,1499850827020687366,149.985083,2.068737,15.47,054,sn_euclid_only_0099_hst.png
100,1500056363020063316,150.005636,2.006332,17.73,054,sn_euclid_only_0100_hst.png
101,1501131383020945435,150.113138,2.094544,17.89,053,sn_euclid_only_0101_hst.png
102,1499936850020219954,149.993685,2.021995,17.45,054,sn_euclid_only_0102_hst.png
103,1501751980019139303,150.175198,1.913930,18.37,041,sn_euclid_only_0103_hst.png
104,1501070704020618110,150.107070,2.061811,18.43,053,sn_euclid_only_0104_hst.png
105,1500224698019425993,150.022470,1.942599,17.48,042,sn_euclid_only_0105_hst.png
106,1499480333020420846,149.948033,2.042085,18.97,054,sn_euclid_only_0106_hst.png
107,1501933437020460352,150.193344,2.046035,19.25,053,sn_euclid_only_0107_hst.png
108,1500443089020831369,150.044309,2.083137,15.60,054,sn_euclid_only_0108_hst.png
109,1501369614021146897,150.136961,2.114690,16.19,053,sn_euclid_only_0109_hst.png
110,1501943542020423304,150.194354,2.042330,18.72,053,sn_euclid_only_0110_hst.png
111,1500141845021070481,150.014185,2.107048,18.68,054,sn_euclid_only_0111_hst.png
112,1500367293020506052,150.036729,2.050605,18.98,054,sn_euclid_only_0112_hst.png
113,1501748850020797693,150.174885,2.079769,16.60,053,sn_euclid_only_0113_hst.png
114,1501822116018507990,150.182212,1.850799,18.41,041,sn_euclid_only_0114_hst.png
115,1502410166018755306,150.241017,1.875531,19.38,040,sn_euclid_only_0115_hst.png
116,1501672163018188771,150.167216,1.818877,18.33,041,sn_euclid_only_0116_hst.png
117,1505080556023843908,150.508056,2.384391,24.35,075,sn_euclid_only_0117_hst.png
118,1498802029020265512,149.880203,2.026551,20.71,055,sn_euclid_only_0118_hst.png
119,1497378846020599937,149.737885,2.059994,24.29,055,sn_euclid_only_0119_hst.png
120,1497701735019846059,149.770174,1.984606,18.88,055,sn_euclid_only_0120_hst.png
121,1498718437021006815,149.871844,2.100682,18.33,055,sn_euclid_only_0121_hst.png
122,1498973335019388641,149.897334,1.938864,18.41,042,sn_euclid_only_0122_hst.png
123,1499148743021115307,149.914874,2.111531,16.21,054,sn_euclid_only_0123_hst.png
124,1499414790020178324,149.941479,2.017832,18.05,054,sn_euclid_only_0124_hst.png
125,1497569027020431172,149.756903,2.043117,17.56,055,sn_euclid_only_0125_hst.png
126,1498359390021206389,149.835939,2.120639,18.93,055,sn_euclid_only_0126_hst.png
127,1497639438020749651,149.763944,2.074965,16.70,055,sn_euclid_only_0127_hst.png
128,1498554477021668562,149.855448,2.166856,17.91,067,sn_euclid_only_0128_hst.png
