seq,id,ra,dec,mag,tile,hstpng
277,600769,149.905548,2.446820,22.37,078,sn_jwst_only_0277_hst.png
278,601599,149.969796,2.430501,19.49,078,sn_jwst_only_0278_hst.png
279,602426,149.886750,2.464786,22.46,091,sn_jwst_only_0279_hst.png
280,619435,150.049796,2.230938,22.25,066,sn_jwst_only_0280_hst.png
281,619808,149.940524,2.272812,20.04,066,sn_jwst_only_0281_hst.png
282,620113,149.998396,2.255132,19.30,066,sn_jwst_only_0282_hst.png
283,622034,149.987206,2.273639,21.34,066,sn_jwst_only_0283_hst.png
284,624216,150.044851,2.266867,21.06,066,sn_jwst_only_0284_hst.png
285,625507,149.964825,2.303294,22.49,078,sn_jwst_only_0285_hst.png
286,625524,150.065739,2.267253,20.28,065,sn_jwst_only_0286_hst.png
287,628953,150.049901,2.293846,20.77,066,sn_jwst_only_0287_hst.png
288,631100,149.969891,2.335112,20.71,078,sn_jwst_only_0288_hst.png
289,632112,149.980345,2.335960,20.15,078,sn_jwst_only_0289_hst.png
290,636147,150.052378,2.336893,22.19,078,sn_jwst_only_0290_hst.png
291,636429,150.055295,2.338749,18.06,078,sn_jwst_only_0291_hst.png
292,638592,150.017549,2.366825,22.33,078,sn_jwst_only_0292_hst.png
293,640584,150.096549,2.350864,18.45,077,sn_jwst_only_0293_hst.png
294,640627,150.027588,2.374615,18.71,078,sn_jwst_only_0294_hst.png
295,641049,149.999050,2.389296,21.90,078,sn_jwst_only_0295_hst.png
296,641422,150.034643,2.379232,22.25,078,sn_jwst_only_0296_hst.png
297,643132,150.101062,2.357540,19.33,077,sn_jwst_only_0297_hst.png
298,645204,150.092986,2.385128,19.83,077,sn_jwst_only_0298_hst.png
299,645751,150.048229,2.405298,20.84,078,sn_jwst_only_0299_hst.png
300,646868,150.040185,2.415777,21.67,078,sn_jwst_only_0300_hst.png
301,647194,150.086392,2.401780,21.99,077,sn_jwst_only_0301_hst.png
302,647357,150.068488,2.409438,21.46,077,sn_jwst_only_0302_hst.png
303,647849,150.068615,2.412623,19.73,077,sn_jwst_only_0303_hst.png
304,648007,150.105781,2.397856,18.76,077,sn_jwst_only_0304_hst.png
305,648014,150.072365,2.411422,19.32,077,sn_jwst_only_0305_hst.png
306,648036,150.022401,2.425211,19.67,078,sn_jwst_only_0306_hst.png
307,648714,150.001993,2.443661,20.78,078,sn_jwst_only_0307_hst.png
308,649303,150.033427,2.436315,20.24,078,sn_jwst_only_0308_hst.png
309,649497,149.999718,2.450581,20.28,078,sn_jwst_only_0309_hst.png
310,650061,149.998784,2.455990,21.83,078,sn_jwst_only_0310_hst.png
311,650642,150.094820,2.425487,21.64,077,sn_jwst_only_0311_hst.png
312,665832,150.144815,2.219712,23.01,065,sn_jwst_only_0312_hst.png
313,666467,150.184009,2.207923,22.52,065,sn_jwst_only_0313_hst.png
314,666921,150.192706,2.208065,21.64,065,sn_jwst_only_0314_hst.png
315,667477,150.170461,2.218781,22.10,065,sn_jwst_only_0315_hst.png
316,674203,150.114657,2.285379,22.09,065,sn_jwst_only_0316_hst.png
317,675525,150.095564,2.299349,20.68,077,sn_jwst_only_0317_hst.png
318,675526,150.095614,2.297562,19.85,077,sn_jwst_only_0318_hst.png
319,675527,150.095991,2.299683,22.56,077,sn_jwst_only_0319_hst.png
320,676075,150.127625,2.293506,22.80,065,sn_jwst_only_0320_hst.png
321,676537,150.122765,2.298935,22.74,077,sn_jwst_only_0321_hst.png
322,680457,150.196298,2.299813,21.22,077,sn_jwst_only_0322_hst.png
323,684899,150.112368,2.354935,17.52,077,sn_jwst_only_0323_hst.png
324,684901,150.113003,2.359882,20.88,077,sn_jwst_only_0324_hst.png
325,686729,150.142588,2.364598,21.20,077,sn_jwst_only_0325_hst.png
326,690096,150.255040,2.343764,20.00,076,sn_jwst_only_0326_hst.png
327,690633,150.241619,2.352847,21.73,076,sn_jwst_only_0327_hst.png
328,691951,150.156129,2.394227,20.04,077,sn_jwst_only_0328_hst.png
329,692908,150.151076,2.403446,20.82,077,sn_jwst_only_0329_hst.png
330,708209,150.220894,2.182034,21.13,065,sn_jwst_only_0330_hst.png
331,708210,150.221309,2.182093,21.94,065,sn_jwst_only_0331_hst.png
332,711821,150.244104,2.199459,22.73,064,sn_jwst_only_0332_hst.png
333,711822,150.244287,2.199496,21.36,064,sn_jwst_only_0333_hst.png
334,712901,150.239937,2.206564,20.63,064,sn_jwst_only_0334_hst.png
335,712947,150.306563,2.171623,19.31,064,sn_jwst_only_0335_hst.png
336,715157,150.344455,2.187113,20.65,064,sn_jwst_only_0336_hst.png
337,720572,150.252183,2.256600,20.76,064,sn_jwst_only_0337_hst.png
338,723609,150.253275,2.277761,19.03,064,sn_jwst_only_0338_hst.png
339,724143,150.363768,2.233733,19.50,064,sn_jwst_only_0339_hst.png
340,726580,150.367661,2.252341,19.77,064,sn_jwst_only_0340_hst.png
341,729053,150.319710,2.286648,15.39,064,sn_jwst_only_0341_hst.png
342,731335,150.377779,2.285148,21.67,064,sn_jwst_only_0342_hst.png
343,731615,150.375854,2.285625,20.44,064,sn_jwst_only_0343_hst.png
344,732171,150.318543,2.311660,20.86,076,sn_jwst_only_0344_hst.png
345,732744,150.330949,2.310831,21.91,076,sn_jwst_only_0345_hst.png
346,734958,150.303650,2.333297,21.50,076,sn_jwst_only_0346_hst.png
347,751221,150.393055,2.119610,18.61,051,sn_jwst_only_0347_hst.png
348,756974,150.410001,2.159251,20.00,063,sn_jwst_only_0348_hst.png
349,765826,150.417629,2.226202,21.61,063,sn_jwst_only_0349_hst.png
350,767512,150.403890,2.247061,17.65,063,sn_jwst_only_0350_hst.png
351,771688,150.420233,2.277778,20.78,063,sn_jwst_only_0351_hst.png
352,771938,150.435497,2.274105,20.68,063,sn_jwst_only_0352_hst.png
353,773481,150.411037,2.293719,21.39,063,sn_jwst_only_0353_hst.png
354,773530,150.448689,2.279828,18.21,063,sn_jwst_only_0354_hst.png
