id,primary_id,telescope,hst_tile,jwst_tile,euclid_tile,host_ra,host_dec,sn_ra,sn_dec,sn_host_sep_arcsec,host_z,best_band,best_snr,combined_sigma,max_snr_detect,n_3sig_detect,quality_flag,mag_F814W,mag_VIS,mag_Y,mag_J,mag_H,mag_F115W,mag_F150W,mag_F277W,mag_F444W,snr_F814W,snr_VIS,snr_Y,snr_J,snr_H,snr_F115W,snr_F150W,snr_F277W,snr_F444W,cnn_conf_hst,cnn_conf_jwst,cnn_conf_vis,cnn_conf_nisp,composite_confidence
cand_00001,EuclidID_1499984999027691008,HST,102,,101547135,149.9984999,2.7690984,149.9984999,2.7690984,0.000,-1,F814W,11.61,1.000,11.61,1,cnn_candidate,21.45,19.83,12.02,11.49,11.33,-1,-1,-1,-1,11.61,33.39,213.79,217.35,224.32,0.00,0.00,0.00,0.00,1.0000,nan,0.0000,0.0000,1.0000
cand_00002,HSTID_177,HST,056,,101542815,149.6603000,2.0522820,149.6603000,2.0522820,0.000,-1,F814W,50.77,1.000,50.77,1,cnn_candidate,19.33,20.81,12.48,12.03,11.85,-1,-1,-1,-1,50.77,7.53,10.18,13.61,26.53,0.00,0.00,0.00,0.00,1.0000,nan,0.0000,0.0000,1.0000
cand_00003,EuclidID_1500432953021024512,HST,054,A3,101542817,150.0432953,2.1024594,150.0432953,2.1024594,0.000,-1,F814W,1.15,1.000,1.15,1,cnn_candidate,20.71,19.99,10.54,12.12,11.56,-1,-1,20.84,21.61,1.15,2.64,115.61,19.29,34.91,-0.50,-0.78,8.63,2.62,1.0000,0.0000,0.0000,0.0000,1.0000
cand_00004,EuclidID_1498690843016495360,EUCLID-NISP,031,,101541376,149.8741350,1.6488270,149.8741350,1.6488270,0.000,-1,H,96.06,1.000,96.06,1,cnn_candidate,18.27,-1,12.45,11.99,11.97,-1,-1,-1,-1,905.04,-0.01,60.09,55.80,96.06,0.00,0.00,0.00,0.00,0.0000,nan,0.0000,1.0000,1.0000
cand_00005,HSTID_325,EUCLID-NISP,068,,101544255,149.6653980,2.1614920,149.6653980,2.1614920,0.000,-1,H,98.46,1.000,98.46,1,cnn_candidate,20.87,20.66,12.94,12.46,12.35,-1,-1,-1,-1,223.25,6.20,47.44,61.29,98.46,0.00,0.00,0.00,0.00,0.0000,nan,0.0000,1.0000,1.0000
cand_00006,EuclidID_1504897064021679872,EUCLID-NISP,063,B10,101544259,150.4897820,2.1680380,150.4897820,2.1680380,0.000,-1,H,42.19,1.000,42.19,1,cnn_candidate,18.71,20.60,11.66,11.31,11.29,-1,-1,-1,-1,811.87,2.10,21.91,27.51,42.19,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,1.0000,1.0000
cand_00007,EuclidID_1504215473016248832,EUCLID-VIS,015,,101539939,150.4215474,1.6248732,150.4215474,1.6248732,0.000,-1,VIS,3.30,1.000,3.30,1,cnn_candidate,-1,19.17,8.98,8.83,8.72,-1,-1,-1,-1,-0.02,3.30,178.36,140.03,279.29,0.00,0.00,0.00,0.00,0.0000,nan,1.0000,0.0000,1.0000
cand_00008,EuclidID_1503623438026731776,HST,100,,101547137,150.3623439,2.6731874,150.3623439,2.6731874,0.000,-1,F814W,0.90,1.000,0.90,1,cnn_candidate,21.73,16.68,14.79,-1,12.77,-1,-1,-1,-1,0.90,56.15,8.50,-2.69,63.03,0.00,0.00,0.00,0.00,1.0000,nan,0.0000,0.0000,1.0000
cand_00009,EuclidID_1498655502031540992,EUCLID-VIS,,,101550013,149.8655503,3.1541056,149.8655503,3.1541056,0.000,-1,VIS,162.96,1.000,162.96,1,cnn_candidate,-1,16.34,-1,-1,13.44,-1,-1,-1,-1,0.00,162.96,-5.13,-2.53,52.08,0.00,0.00,0.00,0.00,nan,nan,1.0000,0.0000,1.0000
cand_00010,EuclidID_1505206265025874432,HST,087,,101545699,150.5206266,2.5874455,150.5206266,2.5874455,0.000,-1,F814W,5.61,1.000,5.61,1,cnn_candidate,19.03,-1,9.39,9.27,9.31,-1,-1,-1,-1,5.61,-0.29,708.23,700.59,1074.13,0.00,0.00,0.00,0.00,1.0000,nan,0.0000,0.0000,1.0000
